title,year_text,price,mileage,Գին_USD,Տարեթիվ,Վազք,Մակնիշ,Մեքենայի_տարիք
Nissan BlueBird,2006,$ 6 000,111000 կմ,6000.0,2006.0,111000.0,Nissan,19.0
Mitsubishi Outlander,2009,$ 8 200,170000 մղոն,8200.0,2009.0,170000.0,Mitsubishi,16.0
Porsche Cayenne,2007,$ 13 500,234000 կմ,13500.0,2007.0,234000.0,Porsche,18.0
Kia Forte,2019,$ 13 500,85000 մղոն,13500.0,2019.0,85000.0,Kia,6.0
Chevrolet Volt,2012,$ 7 000,169000 մղոն,7000.0,2012.0,169000.0,Chevrolet,13.0
Chevrolet Volt,2012,$ 7 100,247000 կմ,7100.0,2012.0,247000.0,Chevrolet,13.0
Jeep Compass,2019,$ 14 000,95000 մղոն,14000.0,2019.0,95000.0,Jeep,6.0
Mercedes-Benz ML 350,2011,$ 24 000,202000 կմ,24000.0,2011.0,202000.0,Mercedes-Benz,14.0
Jeep Compass,2020,$ 14 000,180400 կմ,14000.0,2020.0,180400.0,Jeep,5.0
Mercedes-Benz GLE 43 AMG,2019,$ 69 000,78000 կմ,69000.0,2019.0,78000.0,Mercedes-Benz,6.0
Mercedes-Benz ML 350,2013,$ 21 500,161000 կմ,21500.0,2013.0,161000.0,Mercedes-Benz,12.0
Mercedes-Benz E 220,1993,$ 3 600,523000 կմ,3600.0,1993.0,523000.0,Mercedes-Benz,32.0
Nissan Sentra,2019,$ 10 800,91000 մղոն,10800.0,2019.0,91000.0,Nissan,6.0
Mercedes-Benz E 200,1999,$ 6 600,260000 կմ,6600.0,1999.0,260000.0,Mercedes-Benz,26.0
Toyota Camry,2017,$ 15 500,233800 կմ,15500.0,2017.0,233800.0,Toyota,8.0
Toyota Camry,2022,$ 24 000,2800 մղոն,24000.0,2022.0,2800.0,Toyota,3.0
Mazda 6,2019,$ 17 500,51000 մղոն,17500.0,2019.0,51000.0,Mazda,6.0
Opel Combo,2006,$ 5 500,147000 կմ,5500.0,2006.0,147000.0,Opel,19.0
Mercedes-Benz CLA 250,2018,$ 15 999,150000 կմ,15999.0,2018.0,150000.0,Mercedes-Benz,7.0
BMW X7,2020,$ 75 000,85000 կմ,75000.0,2020.0,85000.0,BMW,5.0
Lexus GS 350,2007,$ 8 000,200000 կմ,8000.0,2007.0,200000.0,Lexus,18.0
Mercedes-Benz E 350,2009,$ 12 000,185000 կմ,12000.0,2009.0,185000.0,Mercedes-Benz,16.0
Mercedes-Benz 124,1993,$ 3 600,523000 կմ,3600.0,1993.0,523000.0,Mercedes-Benz,32.0
Toyota Camry,2014,$ 13 200,124 մղոն,13200.0,2014.0,124.0,Toyota,11.0
Nissan Tiida,2007,$ 5 500,230000 կմ,5500.0,2007.0,230000.0,Nissan,18.0
Kia Sportage,2018,$ 13 800,92000 մղոն,13800.0,2018.0,92000.0,Kia,7.0
Nissan Fuga,2007,$ 7 500,315000 կմ,7500.0,2007.0,315000.0,Nissan,18.0
Mercedes-Benz S 350,2006,$ 12 500,127800 կմ,12500.0,2006.0,127800.0,Mercedes-Benz,19.0
Mercedes-Benz ML 350,2006,$ 10 500,175000 մղոն,10500.0,2006.0,175000.0,Mercedes-Benz,19.0
Chevrolet Equinox,2019,$ 16 500,168000 կմ,16500.0,2019.0,168000.0,Chevrolet,6.0
Kia Rio,2020,$ 10 900,89000 մղոն,10900.0,2020.0,89000.0,Kia,5.0
Toyota Camry,2021,$ 25 500,110000 կմ,25500.0,2021.0,110000.0,Toyota,4.0
Nissan Note,2017,$ 8 200,114000 կմ,8200.0,2017.0,114000.0,Nissan,8.0
Mitsubishi Grandis,2003,$ 4 900,24587 կմ,4900.0,2003.0,24587.0,Mitsubishi,22.0
Lexus RX 350,2017,$ 38 000,93000 կմ,38000.0,2017.0,93000.0,Lexus,8.0
Toyota Corolla,2008,$ 8 700,300000 կմ,8700.0,2008.0,300000.0,Toyota,17.0
Chevrolet Volt,2012,$ 8 000,149000 կմ,8000.0,2012.0,149000.0,Chevrolet,13.0
Toyota Camry,2016,$ 16 000,150000 կմ,16000.0,2016.0,150000.0,Toyota,9.0
Lexus RX 350,2006,$ 12 800,215000 կմ,12800.0,2006.0,215000.0,Lexus,19.0
Toyota Bz4X,2024,$ 39 000,10000 կմ,39000.0,2024.0,10000.0,Toyota,1.0
Kia Optima,2020,$ 22 000,11000 կմ,22000.0,2020.0,11000.0,Kia,5.0
Honda Accord,2020,$ 17 300,89000 կմ,17300.0,2020.0,89000.0,Honda,5.0
UAZ 31519 Hunter,2010,$ 10 000,10000 կմ,10000.0,2010.0,10000.0,UAZ,15.0
Kia Forte Coupe,2010,$ 5 700,248000 կմ,5700.0,2010.0,248000.0,Kia,15.0
Toyota Highlander,2017,$ 30 000,105000 կմ,30000.0,2017.0,105000.0,Toyota,8.0
Hyundai Kona,2021,$ 13 200,76000 կմ,13200.0,2021.0,76000.0,Hyundai,4.0
Dodge Journey,2019,$ 11 800,110000 մղոն,11800.0,2019.0,110000.0,Dodge,6.0
Kia Optima,2019,$ 14 200,43000 մղոն,14200.0,2019.0,43000.0,Kia,6.0
Hyundai Elantra,2019,$ 13 800,44000 մղոն,13800.0,2019.0,44000.0,Hyundai,6.0
Honda CR-V,2024,$ 34 000,35000 կմ,34000.0,2024.0,35000.0,Honda,1.0
Toyota Bz4X,2022,$ 26 000,22000 կմ,26000.0,2022.0,22000.0,Toyota,3.0
Jeep Compass,2016,$ 11 000,98000 մղոն,11000.0,2016.0,98000.0,Jeep,9.0
Aiqar eQ3,2024,$ 22 900,4200 կմ,22900.0,2024.0,4200.0,Aiqar,1.0
Lexus GX 460,2010,$ 32 000,190000 կմ,32000.0,2010.0,190000.0,Lexus,15.0
BMW X5,2022,$ 65 900,40000 մղոն,65900.0,2022.0,40000.0,BMW,3.0
Land Rover Discovery Sport,2017,$ 23 500,180000 կմ,23500.0,2017.0,180000.0,Land,8.0
Chrysler 200,2015,$ 11 000,120000 մղոն,11000.0,2015.0,120000.0,Chrysler,10.0
Subaru Legacy,2004,$ 6 000,201000 կմ,6000.0,2004.0,201000.0,Subaru,21.0
Nissan Tiida,2006,$ 5 600,157000 կմ,5600.0,2006.0,157000.0,Nissan,19.0
Opel Zafira,2000,$ 5 500,250000 կմ,5500.0,2000.0,250000.0,Opel,25.0
Nissan Rogue,2017,$ 13 000,240000 կմ,13000.0,2017.0,240000.0,Nissan,8.0
Audi A4,2019,$ 24 000,40000 կմ,24000.0,2019.0,40000.0,Audi,6.0
Toyota Corolla,2016,$ 14 000,90000 մղոն,14000.0,2016.0,90000.0,Toyota,9.0
Hyundai Elantra,2020,$ 12 900,40000 մղոն,12900.0,2020.0,40000.0,Hyundai,5.0
Toyota Camry,2020,$ 32 000,65850 մղոն,32000.0,2020.0,65850.0,Toyota,5.0
BMW 430,2017,$ 18 500,130000 կմ,18500.0,2017.0,130000.0,BMW,8.0
Land Rover Range Rover,2024,$ 155 000,23000 մղոն,155000.0,2024.0,23000.0,Land,1.0
Avatr 12,2025,֏ 19 500 000,400 կմ,48750.0,2025.0,400.0,Avatr,0.0
Jeep Compass,2020,$ 14 990,76000 կմ,14990.0,2020.0,76000.0,Jeep,5.0
Hyundai Elantra,2019,$ 13 200,91000 կմ,13200.0,2019.0,91000.0,Hyundai,6.0
BMW X6,2023,$ 77 000,99000 կմ,77000.0,2023.0,99000.0,BMW,2.0
BMW X5,2024,$ 65 900,48000 կմ,65900.0,2024.0,48000.0,BMW,1.0
Hyundai Kona,2019,$ 13 900,50000 մղոն,13900.0,2019.0,50000.0,Hyundai,6.0
Toyota Camry,2021,$ 27 300,79000 կմ,27300.0,2021.0,79000.0,Toyota,4.0
Kia Forte,2023,$ 17 000,30000 մղոն,17000.0,2023.0,30000.0,Kia,2.0
Chevrolet Volt,2015,$ 8 000,232000 կմ,8000.0,2015.0,232000.0,Chevrolet,10.0
Nissan Kicks,2018,$ 12 000,150000 կմ,12000.0,2018.0,150000.0,Nissan,7.0
Mercedes-Benz GL 450,2013,$ 28 000,190000 կմ,28000.0,2013.0,190000.0,Mercedes-Benz,12.0
BYD SEA Lion 07,2024,$ 30 000,21000 կմ,30000.0,2024.0,21000.0,BYD,1.0
Toyota Land Cruiser Prado,2019,$ 53 000,110000 կմ,53000.0,2019.0,110000.0,Toyota,6.0
Jeep Compass,2021,$ 16 000,55000 կմ,16000.0,2021.0,55000.0,Jeep,4.0
Chevrolet Volt,2016,$ 11 500,90000 կմ,11500.0,2016.0,90000.0,Chevrolet,9.0
Kia Forte,2020,$ 16 200,69000 կմ,16200.0,2020.0,69000.0,Kia,5.0
Infiniti EX35,2010,$ 12 000,175000 մղոն,12000.0,2010.0,175000.0,Infiniti,15.0
Toyota Rav 4,2024,$ 27 000,100001 կմ,27000.0,2024.0,100001.0,Toyota,1.0
Nissan Rogue,2018,$ 14 500,830000 կմ,14500.0,2018.0,830000.0,Nissan,7.0
JAC J7,2024,֏ 6 700 000,350 կմ,16750.0,2024.0,350.0,JAC,1.0
Mazda 6,2019,$ 24 000,54500 կմ,24000.0,2019.0,54500.0,Mazda,6.0
Toyota Camry,2017,$ 16 000,90000 կմ,16000.0,2017.0,90000.0,Toyota,8.0
Mazda CX5,2021,$ 32 600,12700 մղոն,32600.0,2021.0,12700.0,Mazda,4.0
Toyota Corolla,2018,$ 14 800,114700 մղոն,14800.0,2018.0,114700.0,Toyota,7.0
Toyota Camry,2013,$ 12 400,112000 մղոն,12400.0,2013.0,112000.0,Toyota,12.0
Mercedes-Benz E 320,1997,$ 6 000,166000 մղոն,6000.0,1997.0,166000.0,Mercedes-Benz,28.0
Audi Q4 e-tron,2023,$ 32 000,700 կմ,32000.0,2023.0,700.0,Audi,2.0
Tesla Model X,2019,$ 24 900,43000 մղոն,24900.0,2019.0,43000.0,Tesla,6.0
Lexus RX 350,2018,$ 38 500,31000 մղոն,38500.0,2018.0,31000.0,Lexus,7.0
Kia Forte,2023,$ 19 500,16000 մղոն,19500.0,2023.0,16000.0,Kia,2.0
Opel Astra,1998,$ 3 300,280000 կմ,3300.0,1998.0,280000.0,Opel,27.0
Kia Sorento,2018,$ 17 500,90000 մղոն,17500.0,2018.0,90000.0,Kia,7.0
Mercedes-Benz GLE 350,2016,$ 27 900,115000 կմ,27900.0,2016.0,115000.0,Mercedes-Benz,9.0
Mazda CX5,2020,$ 22 900,30000 կմ,22900.0,2020.0,30000.0,Mazda,5.0
Jeep Renegade,2018,$ 12 300,67000 կմ,12300.0,2018.0,67000.0,Jeep,7.0
Kia Seltos,2020,$ 18 000,70000 կմ,18000.0,2020.0,70000.0,Kia,5.0
Tesla Model 3,2020,$ 11 900,87000 մղոն,11900.0,2020.0,87000.0,Tesla,5.0
VAZ (Lada) 2121 NIVA (4x4),2003,֏ 1 253 967,12000 կմ,3134.9175,2003.0,12000.0,VAZ,22.0
Kia Forte,2022,$ 11 200,64000 մղոն,11200.0,2022.0,64000.0,Kia,3.0
Dodge Journey,2019,$ 8 400,137000 մղոն,8400.0,2019.0,137000.0,Dodge,6.0
Nissan Versa,2017,$ 7 500,89000 կմ,7500.0,2017.0,89000.0,Nissan,8.0
BYD Song Plus,2025,$ 28 000,520 կմ,28000.0,2025.0,520.0,BYD,0.0
Toyota Sienna,2021,$ 43 000,32000 կմ,43000.0,2021.0,32000.0,Toyota,4.0
BMW XM,2023,$ 170 000,5000 կմ,170000.0,2023.0,5000.0,BMW,2.0
Toyota Camry,2021,$ 25 500,79000 կմ,25500.0,2021.0,79000.0,Toyota,4.0
Mazda CX 30,2022,$ 9 000,2000 կմ,9000.0,2022.0,2000.0,Mazda,3.0
Tesla Model 3,2022,$ 10 000,170000 կմ,10000.0,2022.0,170000.0,Tesla,3.0
Toyota Corolla,2016,$ 14 500,170000 կմ,14500.0,2016.0,170000.0,Toyota,9.0
Toyota Land Cruiser Prado,2010,$ 31 000,155000 կմ,31000.0,2010.0,155000.0,Toyota,15.0
Hyundai Sonata,2021,$ 20 800,65500 կմ,20800.0,2021.0,65500.0,Hyundai,4.0
Ford Transit,2011,$ 13 600,126000 կմ,13600.0,2011.0,126000.0,Ford,14.0
BMW X6,2015,$ 33 000,148000 կմ,33000.0,2015.0,148000.0,BMW,10.0
Ford Transit,2010,$ 16 200,180000 կմ,16200.0,2010.0,180000.0,Ford,15.0
BMW 535,2010,$ 15 000,160000 կմ,15000.0,2010.0,160000.0,BMW,15.0
Hyundai Elantra,2014,$ 9 000,119000 կմ,9000.0,2014.0,119000.0,Hyundai,11.0
Land Rover Range Rover Sport,2011,$ 29 000,42000 կմ,29000.0,2011.0,42000.0,Land,14.0
Ford Maverick,2022,₽ 3 800 000,78000 կմ,9500.0,2022.0,78000.0,Ford,3.0
Lexus LS 460 AWD,2011,$ 13 000,145000 կմ,13000.0,2011.0,145000.0,Lexus,14.0
Land Rover Range Rover,2023,$ 118 000,24000 կմ,118000.0,2023.0,24000.0,Land,2.0
Mercedes-Benz C 300,2009,$ 8 900,300000 կմ,8900.0,2009.0,300000.0,Mercedes-Benz,16.0
Toyota Aristo,2003,$ 11 500,156000 կմ,11500.0,2003.0,156000.0,Toyota,22.0
Opel Astra,2002,$ 4 800,255000 կմ,4800.0,2002.0,255000.0,Opel,23.0
Hyundai Elantra,2019,$ 13 700,52000 մղոն,13700.0,2019.0,52000.0,Hyundai,6.0
Toyota Camry,2018,$ 23 500,48500 մղոն,23500.0,2018.0,48500.0,Toyota,7.0
VAZ (Lada) NIVA Legend,2025,$ 18 000,4250 կմ,18000.0,2025.0,4250.0,VAZ,0.0
Mercedes-Benz S 450,2019,$ 62 000,108000 կմ,62000.0,2019.0,108000.0,Mercedes-Benz,6.0
Mercedes-Benz B 170,2007,$ 6 300,163000 կմ,6300.0,2007.0,163000.0,Mercedes-Benz,18.0
Ford Fusion,2016,$ 9 300,257000 կմ,9300.0,2016.0,257000.0,Ford,9.0
Lexus LX 570,2009,$ 34 900,200000 կմ,34900.0,2009.0,200000.0,Lexus,16.0
Hyundai Tucson,2023,$ 28 000,11500 կմ,28000.0,2023.0,11500.0,Hyundai,2.0
